record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa
1,7,16,1977,2,NL,M,32.0,,Neotoma,albigula,Rodent
2,7,16,1977,3,NL,M,33.0,,Neotoma,albigula,Rodent
22,7,17,1977,15,NL,F,31.0,,Neotoma,albigula,Rodent
38,7,17,1977,17,NL,M,33.0,,Neotoma,albigula,Rodent
72,8,19,1977,2,NL,M,31.0,,Neotoma,albigula,Rodent
106,8,20,1977,12,NL,,,,Neotoma,albigula,Rodent
107,8,20,1977,18,NL,,,,Neotoma,albigula,Rodent
121,8,21,1977,15,NL,,,,Neotoma,albigula,Rodent
171,9,11,1977,12,NL,,,,Neotoma,albigula,Rodent
194,9,12,1977,11,NL,,,,Neotoma,albigula,Rodent
214,9,12,1977,17,NL,,,,Neotoma,albigula,Rodent
224,9,13,1977,2,NL,,,,Neotoma,albigula,Rodent
266,10,16,1977,2,NL,,,,Neotoma,albigula,Rodent
272,10,16,1977,18,NL,,,,Neotoma,albigula,Rodent
281,10,16,1977,20,NL,,,,Neotoma,albigula,Rodent
282,10,16,1977,22,NL,,,,Neotoma,albigula,Rodent
297,10,17,1977,11,NL,,,,Neotoma,albigula,Rodent
314,10,17,1977,14,NL,,,,Neotoma,albigula,Rodent
344,10,18,1977,3,NL,,,,Neotoma,albigula,Rodent
349,11,12,1977,2,NL,,,,Neotoma,albigula,Rodent
353,11,12,1977,18,NL,,,,Neotoma,albigula,Rodent
363,11,12,1977,2,NL,,,,Neotoma,albigula,Rodent
390,11,13,1977,11,NL,,,,Neotoma,albigula,Rodent
393,11,13,1977,14,NL,,,,Neotoma,albigula,Rodent
406,11,14,1977,12,NL,,,,Neotoma,albigula,Rodent
435,12,10,1977,2,NL,,,,Neotoma,albigula,Rodent
465,12,11,1977,5,NL,,,,Neotoma,albigula,Rodent
469,12,11,1977,12,NL,,,,Neotoma,albigula,Rodent
475,12,11,1977,11,NL,,,,Neotoma,albigula,Rodent
486,12,11,1977,14,NL,,,,Neotoma,albigula,Rodent
495,12,11,1977,17,NL,,,,Neotoma,albigula,Rodent
506,1,8,1978,2,NL,,,,Neotoma,albigula,Rodent
509,1,8,1978,3,NL,,,,Neotoma,albigula,Rodent
531,1,8,1978,20,NL,,,,Neotoma,albigula,Rodent
546,1,9,1978,11,NL,,,,Neotoma,albigula,Rodent
554,1,9,1978,14,NL,,,,Neotoma,albigula,Rodent
565,1,10,1978,12,NL,,,,Neotoma,albigula,Rodent
588,2,18,1978,2,NL,M,,218.0,Neotoma,albigula,Rodent
629,2,19,1978,14,NL,,,197.0,Neotoma,albigula,Rodent
646,2,20,1978,18,NL,M,32.0,228.0,Neotoma,albigula,Rodent
655,3,11,1978,3,NL,M,32.0,232.0,Neotoma,albigula,Rodent
661,3,11,1978,2,NL,,,,Neotoma,albigula,Rodent
736,4,8,1978,6,NL,M,,,Neotoma,albigula,Rodent
748,4,8,1978,2,NL,,,,Neotoma,albigula,Rodent
755,4,8,1978,3,NL,F,32.0,,Neotoma,albigula,Rodent
825,4,10,1978,18,NL,M,,225.0,Neotoma,albigula,Rodent
845,5,6,1978,2,NL,M,32.0,204.0,Neotoma,albigula,Rodent
848,5,6,1978,22,NL,M,32.0,212.0,Neotoma,albigula,Rodent
869,5,17,1978,20,NL,F,33.0,174.0,Neotoma,albigula,Rodent
875,5,17,1978,5,NL,F,33.0,212.0,Neotoma,albigula,Rodent
886,5,18,1978,3,NL,F,,182.0,Neotoma,albigula,Rodent
971,6,8,1978,17,NL,F,32.0,135.0,Neotoma,albigula,Rodent
990,6,9,1978,2,NL,M,,200.0,Neotoma,albigula,Rodent
1029,6,9,1978,18,NL,M,32.0,232.0,Neotoma,albigula,Rodent
1081,7,8,1978,14,NL,M,33.0,113.0,Neotoma,albigula,Rodent
1083,7,8,1978,3,NL,F,34.0,115.0,Neotoma,albigula,Rodent
1087,7,8,1978,3,NL,M,34.0,190.0,Neotoma,albigula,Rodent
1119,8,4,1978,12,NL,M,33.0,189.0,Neotoma,albigula,Rodent
1131,8,4,1978,20,NL,F,33.0,179.0,Neotoma,albigula,Rodent
1146,8,4,1978,17,NL,F,32.0,149.0,Neotoma,albigula,Rodent
1164,8,5,1978,2,NL,M,34.0,199.0,Neotoma,albigula,Rodent
1168,8,5,1978,15,NL,F,31.0,196.0,Neotoma,albigula,Rodent
1197,9,3,1978,12,NL,F,,158.0,Neotoma,albigula,Rodent
1204,9,3,1978,12,NL,M,,189.0,Neotoma,albigula,Rodent
1220,9,3,1978,20,NL,F,31.0,181.0,Neotoma,albigula,Rodent
1250,9,4,1978,3,NL,F,34.0,141.0,Neotoma,albigula,Rodent
1261,9,4,1978,2,NL,M,32.0,197.0,Neotoma,albigula,Rodent
1285,9,4,1978,14,NL,M,32.0,118.0,Neotoma,albigula,Rodent
1319,10,7,1978,12,NL,,,,Neotoma,albigula,Rodent
1337,10,7,1978,12,NL,,,,Neotoma,albigula,Rodent
1345,10,7,1978,20,NL,,,,Neotoma,albigula,Rodent
1361,10,8,1978,3,NL,,,,Neotoma,albigula,Rodent
1374,10,8,1978,2,NL,,,,Neotoma,albigula,Rodent
1377,10,8,1978,14,NL,,,,Neotoma,albigula,Rodent
1453,11,5,1978,2,NL,M,,218.0,Neotoma,albigula,Rodent
1465,11,5,1978,14,NL,M,32.0,153.0,Neotoma,albigula,Rodent
1490,12,2,1978,12,NL,M,32.0,223.0,Neotoma,albigula,Rodent
1512,12,2,1978,20,NL,F,31.0,181.0,Neotoma,albigula,Rodent
1530,12,3,1978,14,NL,M,,169.0,Neotoma,albigula,Rodent
1729,4,28,1979,12,NL,F,31.0,86.0,Neotoma,albigula,Rodent
1731,4,28,1979,12,NL,F,32.0,239.0,Neotoma,albigula,Rodent
1756,4,29,1979,2,NL,M,33.0,166.0,Neotoma,albigula,Rodent
1763,4,29,1979,18,NL,F,30.0,126.0,Neotoma,albigula,Rodent
1776,4,29,1979,4,NL,M,32.0,101.0,Neotoma,albigula,Rodent
1782,5,29,1979,12,NL,M,27.0,66.0,Neotoma,albigula,Rodent
1784,5,29,1979,12,NL,M,30.0,72.0,Neotoma,albigula,Rodent
1798,5,29,1979,12,NL,M,29.0,70.0,Neotoma,albigula,Rodent
1807,5,29,1979,20,NL,M,27.0,40.0,Neotoma,albigula,Rodent
1818,5,30,1979,2,NL,M,32.0,184.0,Neotoma,albigula,Rodent
1863,7,3,1979,20,NL,F,30.0,94.0,Neotoma,albigula,Rodent
1882,7,4,1979,2,NL,M,32.0,206.0,Neotoma,albigula,Rodent
1914,7,24,1979,20,NL,F,30.0,116.0,Neotoma,albigula,Rodent
1928,7,25,1979,14,NL,M,36.0,151.0,Neotoma,albigula,Rodent
1966,8,21,1979,20,NL,F,30.0,136.0,Neotoma,albigula,Rodent
1982,8,22,1979,12,NL,F,29.0,72.0,Neotoma,albigula,Rodent
1993,8,22,1979,17,NL,F,30.0,105.0,Neotoma,albigula,Rodent
2025,9,22,1979,20,NL,F,31.0,152.0,Neotoma,albigula,Rodent
2078,10,24,1979,12,NL,F,32.0,92.0,Neotoma,albigula,Rodent
2081,10,24,1979,12,NL,F,32.0,211.0,Neotoma,albigula,Rodent
2102,10,24,1979,17,NL,M,32.0,133.0,Neotoma,albigula,Rodent
2107,10,24,1979,20,NL,M,32.0,171.0,Neotoma,albigula,Rodent
2133,10,25,1979,2,NL,F,33.0,274.0,Neotoma,albigula,Rodent
2174,11,17,1979,14,NL,F,31.0,109.0,Neotoma,albigula,Rodent
2184,11,17,1979,2,NL,F,30.0,186.0,Neotoma,albigula,Rodent
2191,11,17,1979,17,NL,M,31.0,153.0,Neotoma,albigula,Rodent
2211,11,18,1979,11,NL,F,33.0,122.0,Neotoma,albigula,Rodent
2216,11,18,1979,13,NL,F,31.0,168.0,Neotoma,albigula,Rodent
2231,11,18,1979,19,NL,F,33.0,122.0,Neotoma,albigula,Rodent
2247,11,18,1979,12,NL,F,33.0,217.0,Neotoma,albigula,Rodent
2305,1,15,1980,12,NL,F,32.0,214.0,Neotoma,albigula,Rodent
2311,1,15,1980,12,NL,F,32.0,114.0,Neotoma,albigula,Rodent
2329,1,15,1980,17,NL,M,35.0,187.0,Neotoma,albigula,Rodent
2346,1,16,1980,5,NL,M,35.0,239.0,Neotoma,albigula,Rodent
2350,1,16,1980,6,NL,M,35.0,241.0,Neotoma,albigula,Rodent
2362,1,16,1980,17,NL,M,32.0,168.0,Neotoma,albigula,Rodent
2395,1,16,1980,14,NL,F,33.0,120.0,Neotoma,albigula,Rodent
2406,1,16,1980,2,NL,F,33.0,184.0,Neotoma,albigula,Rodent
2498,2,25,1980,24,NL,F,34.0,170.0,Neotoma,albigula,Rodent
2522,2,25,1980,14,NL,F,32.0,147.0,Neotoma,albigula,Rodent
2558,3,9,1980,12,NL,M,,74.0,Neotoma,albigula,Rodent
2694,3,9,1980,20,NL,M,,177.0,Neotoma,albigula,Rodent
2728,3,9,1980,2,NL,F,,,Neotoma,albigula,Rodent
2732,3,9,1980,20,NL,M,,212.0,Neotoma,albigula,Rodent
2742,3,9,1980,6,NL,,,243.0,Neotoma,albigula,Rodent
2751,3,21,1980,12,NL,M,,97.0,Neotoma,albigula,Rodent
2904,4,18,1980,18,NL,F,,110.0,Neotoma,albigula,Rodent
2927,5,17,1980,24,NL,M,,109.0,Neotoma,albigula,Rodent
2932,5,17,1980,1,NL,M,30.0,119.0,Neotoma,albigula,Rodent
2952,5,17,1980,20,NL,M,32.0,207.0,Neotoma,albigula,Rodent
2992,5,18,1980,14,NL,F,33.0,189.0,Neotoma,albigula,Rodent
2994,5,18,1980,18,NL,M,32.0,73.0,Neotoma,albigula,Rodent
2999,5,18,1980,14,NL,M,32.0,98.0,Neotoma,albigula,Rodent
3000,5,18,1980,2,NL,F,31.0,87.0,Neotoma,albigula,Rodent
3001,5,18,1980,18,NL,F,30.0,75.0,Neotoma,albigula,Rodent
3002,5,18,1980,2,NL,F,33.0,174.0,Neotoma,albigula,Rodent
3032,5,25,1980,5,NL,F,,135.0,Neotoma,albigula,Rodent
3058,6,22,1980,24,NL,F,34.0,187.0,Neotoma,albigula,Rodent
3074,6,22,1980,20,NL,M,32.0,209.0,Neotoma,albigula,Rodent
3087,6,23,1980,13,NL,M,35.0,241.0,Neotoma,albigula,Rodent
3089,6,23,1980,3,NL,F,32.0,150.0,Neotoma,albigula,Rodent
